brand,name,category,reference_price,image_url,description
fender,american professional ii stratocaster hss,guitar,2500000,,펜더 아메리칸 프로페셔널 II HSS
fender,american ultra telecaster,guitar,3200000,,펜더 아메리칸 울트라 텔레캐스터
fender,vintera ii 50s noconcaster,guitar,1650000,,펜더 빈테라 II 50s 노캐스터
fender,player plus stratocaster,guitar,1400000,,펜더 플레이어 플러스 스트라토캐스터
fender,gold foil jazzmaster,guitar,2100000,,펜더 골드 포일 재즈마스터
gibson,les paul standard 50s p90,guitar,3600000,,깁슨 레스폴 스탠다드 50s P90
gibson,les paul modern,guitar,3900000,,깁슨 레스폴 모던
gibson,sg standard classic white,guitar,2400000,,깁슨 SG 스탠다드 화이트
gibson,explorer antique natural,guitar,2800000,,깁슨 익스플로러
gibson,flying v antique natural,guitar,2800000,,깁슨 플라잉 V
prs,ce 24 semi-hollow,guitar,3500000,,PRS CE 24 세미할로우
prs,s2 custom 24,guitar,2500000,,PRS S2 커스텀 24
prs,se dgt,guitar,1300000,,PRS SE 데이비드 그리섬 시그니처
prs,se swamp ash special,guitar,1200000,,PRS SE 스웜프 애쉬 스페셜
ibanez,rg370ahmz,guitar,750000,,아이바네즈 RG370 입문용
ibanez,s670qm,guitar,950000,,아이바네즈 S 시리즈
ibanez,q52,guitar,1400000,,아이바네즈 Q 시리즈 헤드리스
ibanez,js24p,guitar,2200000,,아이바네즈 조 사트리아니 프리미엄
schecter,reaper-6,guitar,1100000,,쉑터 리퍼-6
schecter,sun valley super shredder,guitar,1300000,,쉑터 썬 밸리 슈퍼 슈레더
esp,e-ii m-ii nt,guitar,2900000,,ESP E-II M-II 스루넥
ltd,ec-256,guitar,650000,,LTD 입문용 레스폴 타입
ltd,sn-1000,guitar,1500000,,LTD 스내퍼 타입
charvel,pro-mod san dimas style 1,guitar,1400000,,샤벨 산 디마스
charvel,pro-mod so-cal style 1,guitar,1400000,,샤벨 소칼
jackson,pro series dinky dk2,guitar,1300000,,잭슨 프로 시리즈 딩키
jackson,js series dinky js11,guitar,250000,,잭슨 입문용 딩키
epiphone,sg muse,guitar,650000,,에피폰 SG 뮤즈
epiphone,les paul prophecy,guitar,1200000,,에피폰 레스폴 프로페시
gretsch,g2622 streamliner,guitar,650000,,그레치 스트림라이너 센터블록
gretsch,g5422tg,guitar,1400000,,그레치 일렉트로매틱 할로우바디
musicman,st. vincent,guitar,4500000,,뮤직맨 세인트 빈센트
sterling,ct50hss,guitar,850000,,스털링 커틀라스 HSS
fender,american ultra jazz bass,bass,3500000,,펜더 아메리칸 울트라 재즈베이스
fender,american vintage ii 1966 jazz bass,bass,3300000,,펜더 아메리칸 빈티지 II 1966 재즈베이스
fender,player plus precision bass,bass,1600000,,펜더 플레이어 플러스 프레시전 베이스
sire,v10 dx,bass,1800000,,사이어 V10 최고급형
sire,m5,bass,850000,,사이어 M5 험버커 베이스
sire,u5,bass,650000,,사이어 U5 숏스케일 베이스
ibanez,sr300e,bass,550000,,아이바네즈 입문용 SR 베이스
ibanez,btb845,bass,1500000,,아이바네즈 BTB 5현 베이스
warwick,rockbass streamer lx,bass,1100000,,워윅 락베이스 스트리머
spector,ns ethic 4,bass,1600000,,스펙터 NS 에틱
sandberg,california tt,bass,2800000,,샌드버그 캘리포니아 재즈베이스 타입
dingwall,d-roc standard,bass,2600000,,딩월 D-ROC 멀티스케일
lakland,skyline 44-64,bass,1800000,,락랜드 스카이라인 프레시전 타입
bacchus,universe series bjb-1r,bass,350000,,바커스 입문용 재즈베이스
cort,a4 plus fmmh,bass,900000,,콜트 아티산 시리즈
